Morton County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
193301,37.8,3.4
193302,31.7,-5.7
193303,46.6,0.7
193304,52.4,-1.6
193305,64.4,0.4
193306,79.2,5.0
193307,81.7,2.9
193308,76.0,-0.6
193309,73.7,4.7
193310,57.7,1.3
193311,45.9,1.9
193312,41.7,7.2
193401,37.5,3.1
193402,38.4,1.0
193403,45.9,0.0
193404,57.2,3.2
193405,69.6,5.6
193406,78.4,4.2
193407,85.3,6.5
193408,81.7,5.1
193409,66.7,-2.3
193410,60.7,4.3
193411,46.2,2.2
193412,35.6,1.1
193501,39.0,4.6
193502,39.9,2.5
193503,50.0,4.1
193504,53.1,-0.9
193505,58.0,-6.0
193506,75.1,0.9
193507,83.8,5.0
193508,80.8,4.2
193509,68.4,-0.6
193510,57.7,1.3
193511,40.6,-3.4
193512,35.3,0.8
193601,30.5,-3.9
193602,26.9,-10.5
193603,47.3,1.4
193604,54.5,0.5
193605,66.2,2.2
193606,76.8,2.6
193607,82.1,3.3
193608,81.4,4.8
193609,69.3,0.3
193610,53.6,-2.8
193611,43.2,-0.8
193612,37.2,2.7
193701,24.2,-10.2
193702,36.3,-1.1
193703,40.5,-5.4
193704,54.2,0.2
193705,67.1,3.1
193706,73.8,-0.4
193707,82.4,3.6
193708,83.2,6.6
193709,72.2,3.2
193710,57.5,1.1
193711,42.2,-1.8
193712,32.7,-1.8
193801,35.7,1.3
193802,38.5,1.1
193803,49.9,4.0
193804,54.6,0.6
193805,64.6,0.6
193806,74.4,0.2
193807,79.9,1.1
193808,82.1,5.5
193809,70.6,1.6
193810,60.8,4.4
193811,40.1,-3.9
193812,36.3,1.8
193901,36.8,2.4
193902,31.2,-6.2
193903,44.9,-1.0
193904,54.8,0.8
193905,66.1,2.1
193906,75.3,1.1
193907,81.1,2.3
193908,78.2,1.6
193909,73.6,4.6
193910,58.8,2.4
193911,42.9,-1.1
193912,37.8,3.3
194001,18.7,-15.7
194002,37.3,-0.1
194003,45.6,-0.3
194004,53.7,-0.3
194005,63.9,-0.1
194006,72.7,-1.5
194007,82.1,3.3
194008,75.8,-0.8
194009,71.5,2.5
194010,61.7,5.3
194011,40.6,-3.4
194012,36.8,2.3
194101,34.6,0.2
194102,36.5,-0.9
194103,41.0,-4.9
194104,53.2,-0.8
194105,65.3,1.3
194106,70.0,-4.2
194107,76.2,-2.6
194108,75.8,-0.8
194109,69.5,0.5
194110,56.1,-0.3
194111,45.2,1.2
194112,36.6,2.1
194201,31.6,-2.8
194202,32.3,-5.1
194203,42.8,-3.1
194204,55.7,1.7
194205,63.5,-0.5
194206,72.6,-1.6
194207,78.0,-0.8
194208,75.3,-1.3
194209,67.1,-1.9
194210,55.8,-0.6
194211,46.2,2.2
194212,34.4,-0.1
194301,34.5,0.1
194302,41.9,4.5
194303,40.4,-5.5
194304,58.6,4.6
194305,60.5,-3.5
194306,75.4,1.2
194307,79.9,1.1
194308,81.1,4.5
194309,68.5,-0.5
194310,55.1,-1.3
194311,41.9,-2.1
194312,28.8,-5.7
194401,30.5,-3.9
194402,37.1,-0.3
194403,41.2,-4.7
194404,49.0,-5.0
194405,64.0,0.0
194406,74.1,-0.1
194407,76.5,-2.3
194408,77.6,1.0
194409,69.4,0.4
194410,57.0,0.6
194411,43.8,-0.2
194412,31.8,-2.7
194501,33.1,-1.3
194502,37.0,-0.4
194503,48.2,2.3
194504,50.1,-3.9
194505,63.5,-0.5
194506,68.8,-5.4
194507,77.5,-1.3
194508,77.3,0.7
194509,68.0,-1.0
194510,56.7,0.3
194511,45.0,1.0
194512,31.4,-3.1
194601,35.3,0.9
194602,41.2,3.8
194603,48.5,2.6
194604,61.7,7.7
194605,61.1,-2.9
194606,75.6,1.4
194607,81.1,2.3
194608,77.4,0.8
194609,69.2,0.2
194610,56.0,-0.4
194611,39.7,-4.3
194612,39.8,5.3
194701,32.7,-1.7
194702,34.5,-2.9
194703,39.4,-6.5
194704,51.4,-2.6
194705,60.8,-3.2
194706,71.4,-2.8
194707,77.9,-0.9
194708,79.6,3.0
194709,73.4,4.4
194710,63.0,6.6
194711,38.4,-5.6
194712,34.0,-0.5
194801,30.3,-4.1
194802,31.8,-5.6
194803,34.9,-11.0
194804,59.2,5.2
194805,64.6,0.6
194806,73.9,-0.3
194807,78.8,0.0
194808,76.3,-0.3
194809,71.6,2.6
194810,57.4,1.0
194811,40.1,-3.9
194812,36.0,1.5
194901,24.3,-10.1
194902,35.0,-2.4
194903,43.8,-2.1
194904,53.1,-0.9
194905,64.2,0.2
194906,73.0,-1.2
194907,78.0,-0.8
194908,75.3,-1.3
194909,67.6,-1.4
194910,56.3,-0.1
194911,49.9,5.9
194912,34.4,-0.1
195001,34.3,-0.1
195002,41.7,4.3
195003,42.9,-3.0
195004,54.3,0.3
195005,64.6,0.6
195006,75.1,0.9
195007,73.5,-5.3
195008,72.4,-4.2
195009,65.8,-3.2
195010,62.0,5.6
195011,42.2,-1.8
195012,36.5,2.0
195101,30.4,-4.0
195102,38.7,1.3
195103,41.4,-4.5
195104,50.9,-3.1
195105,63.5,-0.5
195106,69.0,-5.2
195107,78.8,0.0
195108,78.1,1.5
195109,67.7,-1.3
195110,55.5,-0.9
195111,38.9,-5.1
195112,33.6,-0.9
195201,38.0,3.6
195202,38.7,1.3
195203,39.5,-6.4
195204,52.7,-1.3
195205,64.4,0.4
195206,81.4,7.2
195207,79.6,0.8
195208,79.7,3.1
195209,69.8,0.8
195210,55.4,-1.0
195211,39.2,-4.8
195212,32.8,-1.7
195301,41.8,7.4
195302,38.1,0.7
195303,48.8,2.9
195304,52.2,-1.8
195305,61.9,-2.1
195306,81.6,7.4
195307,79.0,0.2
195308,76.4,-0.2
195309,71.6,2.6
195310,57.8,1.4
195311,43.9,-0.1
195312,33.2,-1.3
195401,33.9,-0.5
195402,46.3,8.9
195403,40.8,-5.1
195404,59.1,5.1
195405,60.8,-3.2
195406,77.1,2.9
195407,83.1,4.3
195408,78.9,2.3
195409,73.8,4.8
195410,57.0,0.6
195411,46.5,2.5
195412,38.0,3.5
195501,33.1,-1.3
195502,32.8,-4.6
195503,43.7,-2.2
195504,56.1,2.1
195505,64.8,0.8
195506,71.1,-3.1
195507,80.8,2.0
195508,78.4,1.8
195509,71.0,2.0
195510,59.4,3.0
195511,40.5,-3.5
195512,35.7,1.2
195601,33.4,-1.0
195602,32.0,-5.4
195603,44.9,-1.0
195604,52.0,-2.0
195605,69.4,5.4
195606,79.5,5.3
195607,78.6,-0.2
195608,77.5,0.9
195609,71.9,2.9
195610,60.7,4.3
195611,41.1,-2.9
195612,37.2,2.7
195701,29.3,-5.1
195702,41.5,4.1
195703,42.0,-3.9
195704,50.1,-3.9
195705,59.8,-4.2
195706,71.6,-2.6
195707,81.2,2.4
195708,78.2,1.6
195709,66.2,-2.8
195710,55.3,-1.1
195711,39.6,-4.4
195712,39.8,5.3
195801,33.8,-0.6
195802,35.6,-1.8
195803,31.9,-14.0
195804,49.9,-4.1
195805,66.6,2.6
195806,74.6,0.4
195807,76.4,-2.4
195808,77.5,0.9
195809,70.3,1.3
195810,56.1,-0.3
195811,42.7,-1.3
195812,34.4,-0.1
195901,28.4,-6.0
195902,35.5,-1.9
195903,42.5,-3.4
195904,52.2,-1.8
195905,64.8,0.8
195906,75.9,1.7
195907,76.5,-2.3
195908,77.8,1.2
195909,67.3,-1.7
195910,52.7,-3.7
195911,40.2,-3.8
195912,36.4,1.9
196001,29.5,-4.9
196002,27.8,-9.6
196003,39.0,-6.9
196004,57.2,3.2
196005,63.5,-0.5
196006,74.4,0.2
196007,76.4,-2.4
196008,78.2,1.6
196009,69.4,0.4
196010,56.9,0.5
196011,44.2,0.2
196012,33.2,-1.3
196101,33.4,-1.0
196102,37.8,0.4
196103,43.2,-2.7
196104,51.7,-2.3
196105,63.7,-0.3
196106,73.0,-1.2
196107,77.3,-1.5
196108,76.3,-0.3
196109,65.0,-4.0
196110,55.9,-0.5
196111,38.6,-5.4
196112,31.9,-2.6
196201,28.0,-6.4
196202,39.4,2.0
196203,41.6,-4.3
196204,53.9,-0.1
196205,69.6,5.6
196206,71.7,-2.5
196207,78.1,-0.7
196208,78.9,2.3
196209,67.9,-1.1
196210,58.6,2.2
196211,45.0,1.0
196212,37.3,2.8
196301,23.2,-11.2
196302,40.6,3.2
196303,47.6,1.7
196304,58.8,4.8
196305,68.1,4.1
196306,75.8,1.6
196307,82.1,3.3
196308,78.8,2.2
196309,72.5,3.5
196310,64.3,7.9
196311,46.5,2.5
196312,28.9,-5.6
196401,35.6,1.2
196402,30.6,-6.8
196403,40.9,-5.0
196404,54.8,0.8
196405,67.3,3.3
196406,73.7,-0.5
196407,82.1,3.3
196408,77.5,0.9
196409,67.5,-1.5
196410,56.6,0.2
196411,43.5,-0.5
196412,33.3,-1.2
196501,38.0,3.6
196502,34.8,-2.6
196503,34.7,-11.2
