Grant County, Kansas, Precipitation
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
199603,0.43,-0.60
199604,0.09,-1.45
199605,2.63,0.32
199606,4.07,1.08
199607,4.93,2.04
199608,6.07,3.12
199609,3.26,1.88
199610,0.41,-1.14
199611,1.01,0.50
199612,0.05,-0.53
199701,0.10,-0.31
199702,0.47,0.07
199703,0.00,-1.03
199704,1.92,0.38
199705,2.68,0.37
199706,3.12,0.13
199707,2.38,-0.51
199708,6.27,3.32
199709,0.89,-0.49
199710,2.48,0.93
199711,0.12,-0.39
199712,1.03,0.45
199801,0.03,-0.38
199802,0.26,-0.14
199803,1.61,0.58
199804,0.57,-0.97
199805,2.07,-0.24
199806,0.86,-2.13
199807,5.53,2.64
199808,2.12,-0.83
199809,0.29,-1.09
199810,3.40,1.85
199811,1.68,1.17
199812,0.24,-0.34
199901,0.73,0.32
199902,0.08,-0.32
199903,1.67,0.64
199904,2.54,1.00
199905,2.46,0.15
199906,2.90,-0.09
199907,1.50,-1.39
199908,2.83,-0.12
199909,1.39,0.01
199910,1.62,0.07
199911,0.01,-0.50
199912,0.11,-0.47
200001,0.22,-0.19
200002,0.08,-0.32
200003,4.39,3.36
200004,1.44,-0.10
200005,1.26,-1.05
200006,0.99,-2.00
200007,3.13,0.24
200008,1.13,-1.82
200009,0.07,-1.31
200010,4.78,3.23
200011,0.39,-0.12
200012,0.04,-0.54
200101,0.88,0.47
200102,0.57,0.17
200103,1.17,0.14
200104,1.18,-0.36
200105,5.10,2.79
200106,1.80,-1.19
200107,2.53,-0.36
200108,2.76,-0.19
200109,1.13,-0.25
200110,0.01,-1.54
200111,0.25,-0.26
200112,0.19,-0.39
200201,0.42,0.01
200202,0.13,-0.27
200203,0.00,-1.03
200204,1.02,-0.52
200205,0.90,-1.41
200206,0.78,-2.21
200207,1.15,-1.74
200208,3.68,0.73
200209,1.50,0.12
200210,1.85,0.30
200211,0.08,-0.43
200212,0.60,0.02
200301,0.06,-0.35
200302,0.59,0.19
200303,0.96,-0.07
200304,0.93,-0.61
200305,2.84,0.53
200306,5.63,2.64
200307,0.83,-2.06
200308,2.28,-0.67
200309,1.82,0.44
200310,0.03,-1.52
200311,0.22,-0.29
200312,0.44,-0.14
200401,0.04,-0.37
200402,0.52,0.12
200403,1.30,0.27
200404,2.07,0.53
200405,0.48,-1.83
200406,5.81,2.82
200407,3.38,0.49
200408,3.15,0.20
200409,3.41,2.03
200410,1.06,-0.49
200411,1.98,1.47
200412,0.07,-0.51
200501,0.89,0.48
200502,0.91,0.51
200503,0.93,-0.10
200504,1.69,0.15
200505,3.48,1.17
200506,2.26,-0.73
200507,1.93,-0.96
200508,2.52,-0.43
200509,1.57,0.19
200510,2.52,0.97
200511,0.16,-0.35
200512,0.15,-0.43
200601,0.17,-0.24
200602,0.00,-0.40
200603,0.80,-0.23
200604,0.53,-1.01
200605,0.97,-1.34
200606,2.77,-0.22
200607,2.45,-0.44
200608,3.29,0.34
200609,1.04,-0.34
200610,2.48,0.93
200611,0.05,-0.46
200612,2.94,2.36
200701,0.39,-0.02
200702,0.41,0.01
200703,1.63,0.60
200704,2.56,1.02
200705,1.27,-1.04
200706,2.29,-0.70
200707,1.21,-1.68
200708,1.92,-1.03
200709,1.14,-0.24
200710,0.12,-1.43
200711,0.08,-0.43
200712,0.91,0.33
200801,0.19,-0.22
200802,0.22,-0.18
200803,0.18,-0.85
200804,0.86,-0.68
200805,0.87,-1.44
200806,1.82,-1.17
200807,1.66,-1.23
200808,4.52,1.57
200809,0.19,-1.19
200810,4.58,3.03
200811,0.22,-0.29
200812,0.05,-0.53
200901,0.02,-0.39
200902,0.24,-0.16
200903,1.25,0.22
200904,3.02,1.48
200905,0.82,-1.49
200906,4.15,1.16
200907,3.94,1.05
200908,1.98,-0.97
200909,0.98,-0.40
200910,2.95,1.40
200911,0.32,-0.19
200912,0.11,-0.47
201001,0.41,0.00
201002,0.52,0.12
201003,2.01,0.98
201004,0.96,-0.58
201005,1.29,-1.02
201006,2.39,-0.60
201007,3.19,0.30
201008,2.19,-0.76
201009,0.43,-0.95
201010,0.24,-1.31
201011,0.06,-0.45
201012,0.16,-0.42
201101,0.09,-0.32
201102,0.29,-0.11
201103,0.35,-0.68
201104,1.17,-0.37
201105,0.35,-1.96
201106,1.28,-1.71
201107,1.34,-1.55
201108,1.50,-1.45
201109,1.03,-0.35
201110,1.50,-0.05
201111,1.02,0.51
201112,1.96,1.38
201201,0.00,-0.41
201202,0.50,0.10
201203,1.59,0.56
201204,2.64,1.10
201205,0.61,-1.70
201206,1.14,-1.85
201207,1.07,-1.82
201208,0.95,-2.00
201209,1.58,0.20
201210,1.54,-0.01
201211,0.00,-0.51
201212,0.87,0.29
201301,0.53,0.12
201302,0.33,-0.07
201303,0.22,-0.81
201304,0.57,-0.97
201305,0.54,-1.77
201306,2.20,-0.79
201307,2.24,-0.65
201308,4.05,1.10
201309,2.56,1.18
201310,0.92,-0.63
201311,0.96,0.45
201312,0.03,-0.55
201401,0.26,-0.15
201402,0.22,-0.18
201403,0.36,-0.67
201404,0.97,-0.57
201405,0.71,-1.60
201406,3.82,0.83
