Grant County, Kansas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
200806,58.2,-1.2
200807,65.1,0.5
200808,63.6,0.7
200809,53.0,-1.4
200810,41.3,0.4
200811,31.2,2.9
200812,18.3,-1.3
200901,18.8,-0.1
200902,23.0,1.3
200903,28.6,-1.4
200904,38.0,-0.3
200905,49.4,0.1
200906,59.4,0.0
200907,63.2,-1.4
200908,61.1,-1.8
200909,52.1,-2.3
200910,36.9,-4.0
200911,32.2,3.9
200912,14.8,-4.8
201001,16.0,-2.9
201002,20.5,-1.2
201003,30.0,0.0
201004,41.3,3.0
201005,47.3,-2.0
201006,62.5,3.1
201007,65.9,1.3
201008,63.7,0.8
201009,56.2,1.8
201010,42.4,1.5
201011,25.5,-2.8
201012,20.3,0.7
201101,14.9,-4.0
201102,14.6,-7.1
201103,29.4,-0.6
201104,38.6,0.3
201105,46.4,-2.9
201106,60.1,0.7
201107,68.6,4.0
201108,66.9,4.0
201109,52.4,-2.0
201110,42.5,1.6
201111,29.5,1.2
201112,19.2,-0.4
201201,23.4,4.5
201202,24.9,3.2
201203,36.5,6.5
201204,44.3,6.0
201205,52.0,2.7
201206,62.3,2.9
201207,67.7,3.1
201208,60.5,-2.4
201209,52.4,-2.0
201210,38.5,-2.4
201211,29.8,1.5
201212,20.4,0.8
201301,19.0,0.1
201302,21.2,-0.5
201303,27.2,-2.8
201304,32.0,-6.3
201305,47.4,-1.9
201306,61.1,1.7
201307,64.2,-0.4
201308,63.5,0.6
201309,58.0,3.6
201310,39.9,-1.0
201311,27.8,-0.5
201312,17.2,-2.4
201401,16.0,-2.9
201402,18.3,-3.4
201403,25.5,-4.5
201404,38.1,-0.2
201405,47.4,-1.9
201406,59.8,0.4
201407,64.0,-0.6
201408,63.0,0.1
201409,55.9,1.5
201410,44.1,3.2
201411,24.5,-3.8
201412,24.4,4.8
201501,21.2,2.3
201502,20.7,-1.0
201503,31.4,1.4
201504,39.5,1.2
201505,48.9,-0.4
201506,62.8,3.4
201507,66.0,1.4
201508,62.6,-0.3
201509,59.2,4.8
201510,46.7,5.8
201511,30.3,2.0
201512,24.9,5.3
201601,19.9,1.0
201602,26.2,4.5
201603,30.6,0.6
201604,40.3,2.0
201605,46.9,-2.4
201606,61.8,2.4
201607,66.2,1.6
201608,62.5,-0.4
201609,56.0,1.6
201610,43.9,3.0
201611,32.0,3.7
201612,14.6,-5.0
201701,20.0,1.1
201702,25.4,3.7
201703,31.5,1.5
201704,42.0,3.7
201705,46.7,-2.6
201706,60.7,1.3
201707,65.1,0.5
201708,60.9,-2.0
201709,54.6,0.2
201710,41.0,0.1
201711,31.7,3.4
201712,17.5,-2.1
201801,15.5,-3.4
201802,19.0,-2.7
201803,29.9,-0.1
201804,32.4,-5.9
201805,55.2,5.9
201806,62.6,3.2
201807,64.5,-0.1
201808,61.4,-1.5
201809,57.5,3.1
201810,41.2,0.3
201811,25.4,-2.9
201812,19.6,0.0
201901,22.1,3.2
201902,17.2,-4.5
201903,28.0,-2.0
201904,38.7,0.4
201905,47.2,-2.1
201906,56.9,-2.5
201907,64.5,-0.1
201908,64.8,1.9
201909,60.4,6.0
201910,34.6,-6.3
201911,24.2,-4.1
