State,"State name",County,"County name",Year,Month,"Commodity (partial list)","Cause of loss","Payment indemnity (US$)","Payment acreage","Payment count","Liability (US$)","Subsidy (US$)"
20,Kansas,081,Haskell,2001,5,Wheat,Drought,1287.00,87.990000,3,6752.000000,638.000000
20,Kansas,081,Haskell,2001,5,Wheat,Hail,85543.40,1907.372000,3,224409.400000,12948.600000
20,Kansas,081,Haskell,2001,5,Wheat,"Hot Wind",4801.00,103.380000,1,11293.000000,794.000000
20,Kansas,081,Haskell,2001,6,Wheat,"Cold Winter",708.00,17.310000,1,1524.000000,103.000000
20,Kansas,081,Haskell,2001,6,Wheat,Drought,11266.00,429.450000,3,37706.000000,2704.000000
20,Kansas,081,Haskell,2001,6,Wheat,Hail,998.00,60.030000,1,7014.000000,500.000000
20,Kansas,081,Haskell,2001,6,Wheat,Heat,43060.00,1150.240000,1,193247.000000,8897.000000
20,Kansas,081,Haskell,2001,6,Wheat,"Hot Wind",383.00,23.310000,1,3395.000000,192.000000
20,Kansas,081,Haskell,2001,6,Wheat,"Plant Disease",3913.00,187.000000,1,30207.000000,1433.000000
20,Kansas,081,Haskell,2001,6,Wheat,"Wind/excess Wind",2656.00,129.390000,1,12756.000000,861.000000
20,Kansas,081,Haskell,2001,7,Wheat,"Cold Winter",8904.00,364.020000,1,38729.000000,3091.000000
20,Kansas,081,Haskell,2001,7,Wheat,Drought,2155.21,75.773200,1,7898.630000,582.250000
20,Kansas,081,Haskell,2001,7,Wheat,"Excess Moisture/precip/rain",889.00,50.020000,1,5714.000000,445.000000
20,Kansas,081,Haskell,2001,7,Wheat,"Hot Wind",565.00,17.540000,1,676.000000,26.000000
20,Kansas,081,Haskell,2001,8,Wheat,Drought,1579.00,52.610000,1,4267.000000,348.000000
20,Kansas,081,Haskell,2001,9,Wheat,Drought,46178.00,1136.380000,4,118349.000000,8189.000000
20,Kansas,081,Haskell,2001,9,Wheat,Heat,638.00,32.630000,1,1900.000000,113.000000
20,Kansas,081,Haskell,2001,10,Wheat,Drought,12343.00,449.962000,2,39441.500000,3537.500000
20,Kansas,081,Haskell,2001,10,Wheat,"Excess Moisture/precip/rain",9384.00,446.830000,3,43308.000000,1966.000000
20,Kansas,081,Haskell,2001,11,Wheat,"Cold Wet Weather",2233.00,46.950000,1,4569.000000,263.000000
20,Kansas,081,Haskell,2001,11,Wheat,"Cold Winter",1442.00,18.580000,1,1759.000000,86.000000
20,Kansas,081,Haskell,2001,11,Wheat,Drought,45718.00,856.900000,4,62196.000000,4702.000000
20,Kansas,081,Haskell,2001,11,Wheat,"Excess Moisture/precip/rain",267.00,36.618000,1,2278.500000,385.500000
20,Kansas,081,Haskell,2001,11,Wheat,"Wind/excess Wind",6343.00,50.020000,1,6343.000000,343.000000
20,Kansas,081,Haskell,2001,12,Wheat,"Cold Winter",5409.00,62.300000,1,6008.000000,343.000000
20,Kansas,081,Haskell,2001,12,Wheat,"Wind/excess Wind",20007.79,644.296800,1,77389.370000,4606.750000
20,Kansas,081,Haskell,2002,1,Wheat,"Cold Winter",126809.00,2320.080000,7,231271.000000,9587.000000
20,Kansas,081,Haskell,2002,1,Wheat,Drought,10452.00,233.880000,3,19487.000000,1138.000000
20,Kansas,081,Haskell,2002,1,Wheat,Freeze,194.00,430.000000,2,14982.000000,824.000000
20,Kansas,081,Haskell,2002,2,Wheat,"Cold Winter",16955.00,176.250000,3,20086.000000,900.000000
20,Kansas,081,Haskell,2002,2,Wheat,Drought,48306.00,854.480000,3,77992.000000,4781.000000
20,Kansas,081,Haskell,2002,2,Wheat,Freeze,68430.00,1913.740000,2,191535.000000,10021.000000
20,Kansas,081,Haskell,2002,2,Wheat,Heat,1941.00,80.700000,1,9811.000000,503.000000
20,Kansas,081,Haskell,2002,2,Wheat,"Wind/excess Wind",1123.20,29.548000,2,2467.200000,155.200000
20,Kansas,081,Haskell,2002,3,Wheat,"Cold Winter",365595.18,7925.330000,8,817616.480000,44533.340000
20,Kansas,081,Haskell,2002,3,Wheat,Drought,584127.62,9597.316600,7,795596.900000,54306.000000
20,Kansas,081,Haskell,2002,3,Wheat,"Failure Of Irrigation Supply",24024.00,250.000000,2,29531.000000,1190.000000
20,Kansas,081,Haskell,2002,3,Wheat,Freeze,174985.60,2726.624000,3,345179.800000,17434.400000
20,Kansas,081,Haskell,2002,3,Wheat,Heat,1190.00,16.650000,1,1212.000000,87.000000
20,Kansas,081,Haskell,2002,3,Wheat,"Hot Wind",10629.50,536.545000,2,60467.000000,2062.000000
20,Kansas,081,Haskell,2002,3,Wheat,Other,0.00,45.950000,1,4892.000000,137.000000
20,Kansas,081,Haskell,2002,3,Wheat,"Wind/excess Wind",99283.23,1347.293800,6,141368.400000,8113.280000
20,Kansas,081,Haskell,2002,4,Wheat,"Cold Winter",9148.00,196.590000,3,19304.000000,728.000000
20,Kansas,081,Haskell,2002,4,Wheat,"Decline In Price",-3282.00,333.380000,1,33267.000000,2068.000000
20,Kansas,081,Haskell,2002,4,Wheat,Drought,96726.60,2024.412000,5,145226.400000,8700.600000
20,Kansas,081,Haskell,2002,4,Wheat,"Failure Of Irrigation Supply",14952.00,179.000000,1,17157.000000,1162.000000
20,Kansas,081,Haskell,2002,4,Wheat,Freeze,1942.00,190.420000,1,22039.000000,1101.000000
20,Kansas,081,Haskell,2002,4,Wheat,"Wind/excess Wind",4823.56,77.782600,1,4945.570000,280.770000
20,Kansas,081,Haskell,2002,5,Wheat,"Cold Winter",9996.40,286.940000,3,13185.800000,572.000000
20,Kansas,081,Haskell,2002,5,Wheat,Drought,38962.00,877.745000,5,62958.000000,4900.500000
20,Kansas,081,Haskell,2002,5,Wheat,Hail,255.60,15.660000,1,2443.200000,84.000000
20,Kansas,081,Haskell,2002,5,Wheat,"Hot Wind",4106.00,94.900000,2,7629.000000,529.000000
20,Kansas,081,Haskell,2002,6,Wheat,"Cold Winter",24148.00,671.690000,3,75186.000000,3312.000000
20,Kansas,081,Haskell,2002,6,Wheat,Drought,3529.00,145.080000,2,14028.000000,966.000000
20,Kansas,081,Haskell,2002,6,Wheat,Hail,61998.80,1243.000000,2,181436.600000,7668.900000
20,Kansas,081,Haskell,2002,6,Wheat,Heat,969.00,40.290000,1,4898.000000,251.000000
20,Kansas,081,Haskell,2002,6,Wheat,"Hot Wind",11042.00,311.870000,1,49513.000000,1868.000000
20,Kansas,081,Haskell,2002,6,Wheat,"Wind/excess Wind",984.00,26.305000,1,1007.000000,44.500000
20,Kansas,081,Haskell,2002,7,Wheat,"Cold Winter",1713.50,333.000000,1,34826.500000,948.000000
20,Kansas,081,Haskell,2002,7,Wheat,"Decline In Price",215.60,3.540400,2,268.520000,20.960000
20,Kansas,081,Haskell,2002,7,Wheat,Drought,15547.00,236.050000,2,24962.000000,1627.000000
20,Kansas,081,Haskell,2002,7,Wheat,"Hot Wind",1717.00,378.000000,1,34886.000000,1261.000000
20,Kansas,081,Haskell,2002,7,Wheat,Other,1742.00,45.010000,2,4690.000000,317.000000
20,Kansas,081,Haskell,2002,8,Wheat,Drought,164431.00,3861.750000,5,357054.000000,27660.000000
20,Kansas,081,Haskell,2002,9,Wheat,Drought,121474.00,2450.070000,8,184699.000000,12796.000000
20,Kansas,081,Haskell,2002,10,Wheat,Drought,163913.60,2072.714000,7,179033.800000,13993.200000
20,Kansas,081,Haskell,2002,11,Wheat,Drought,20814.40,357.050000,5,33662.000000,1729.200000
20,Kansas,081,Haskell,2002,12,Wheat,Drought,12407.61,210.903600,3,17664.830000,952.150000
20,Kansas,081,Haskell,2003,1,Wheat,Drought,78900.50,1455.100000,4,102638.500000,8533.000000
20,Kansas,081,Haskell,2003,2,Wheat,"Cold Winter",3457.00,52.900000,1,6505.000000,341.000000
20,Kansas,081,Haskell,2003,2,Wheat,Drought,1374.00,18.960000,2,1479.000000,104.000000
20,Kansas,081,Haskell,2003,2,Wheat,Heat,742.00,17.410000,1,742.000000,33.000000
20,Kansas,081,Haskell,2003,3,Wheat,"Cold Winter",35924.75,485.308000,3,56149.300000,3533.600000
20,Kansas,081,Haskell,2003,3,Wheat,Drought,127260.80,3882.994000,9,309236.800000,26711.200000
20,Kansas,081,Haskell,2003,3,Wheat,"Failure Of Irrigation Supply",3684.00,40.620000,1,4561.000000,267.000000
20,Kansas,081,Haskell,2003,3,Wheat,Freeze,20416.60,668.600000,2,67989.000000,3913.200000
20,Kansas,081,Haskell,2003,3,Wheat,Heat,2734.00,263.880000,2,31170.000000,1630.000000
20,Kansas,081,Haskell,2003,4,Wheat,Drought,294322.45,4982.338000,8,478851.100000,37182.000000
20,Kansas,081,Haskell,2003,4,Wheat,Heat,1223.00,211.110000,1,28177.000000,1474.000000
20,Kansas,081,Haskell,2003,4,Wheat,"Hot Wind",0.00,0.000000,1,0.000000,0.000000
20,Kansas,081,Haskell,2003,4,Wheat,"Wind/excess Wind",9773.00,245.000000,1,42860.000000,1589.000000
20,Kansas,081,Haskell,2003,5,Wheat,"Cold Winter",19251.50,384.115000,1,44555.500000,2833.500000
20,Kansas,081,Haskell,2003,5,Wheat,"Decline In Price",-4782.00,503.240000,4,51935.500000,3494.500000
20,Kansas,081,Haskell,2003,5,Wheat,Drought,462430.75,7655.935000,6,730770.500000,56700.750000
20,Kansas,081,Haskell,2003,5,Wheat,"Excess Moisture/precip/rain",4076.00,68.110000,2,6048.000000,405.000000
20,Kansas,081,Haskell,2003,5,Wheat,"Failure Of Irrigation Supply",8322.00,80.030000,2,9195.000000,602.000000
20,Kansas,081,Haskell,2003,5,Wheat,Freeze,47199.75,777.030000,4,88617.500000,5999.250000
20,Kansas,081,Haskell,2003,5,Wheat,Heat,6849.00,229.240000,1,27425.000000,1388.000000
20,Kansas,081,Haskell,2003,5,Wheat,"Hot Wind",6129.40,186.770000,2,26494.000000,1242.800000
20,Kansas,081,Haskell,2003,6,Wheat,"Cold Winter",1870.50,23.220000,1,2911.500000,159.500000
20,Kansas,081,Haskell,2003,6,Wheat,"Decline In Price",1913.00,125.500000,2,15730.000000,809.000000
20,Kansas,081,Haskell,2003,6,Wheat,Drought,319143.00,5719.870000,8,554266.000000,39855.500000
20,Kansas,081,Haskell,2003,6,Wheat,"Excess Moisture/precip/rain",29250.00,724.700000,1,72403.000000,5430.000000
20,Kansas,081,Haskell,2003,6,Wheat,"Failure Of Irrigation Supply",20031.00,204.250000,2,24089.000000,1321.000000
20,Kansas,081,Haskell,2003,6,Wheat,Freeze,4434.50,70.020000,2,7904.500000,387.500000
20,Kansas,081,Haskell,2003,6,Wheat,Hail,17173.00,575.990000,3,47143.000000,3857.000000
20,Kansas,081,Haskell,2003,6,Wheat,Heat,16047.00,485.400000,2,44848.000000,3110.000000
20,Kansas,081,Haskell,2003,6,Wheat,"Hot Wind",22128.60,509.800000,3,66482.800000,3440.200000
20,Kansas,081,Haskell,2003,6,Wheat,"Wind/excess Wind",6828.00,423.600000,2,54300.000000,3232.000000
20,Kansas,081,Haskell,2003,7,Wheat,"Cold Winter",4539.50,162.690000,2,19227.000000,1098.500000
20,Kansas,081,Haskell,2003,7,Wheat,"Decline In Price",12449.00,878.310000,2,99153.000000,6445.000000
20,Kansas,081,Haskell,2003,7,Wheat,Drought,30518.60,695.564000,5,58245.800000,6276.900000
20,Kansas,081,Haskell,2003,7,Wheat,"Excess Moisture/precip/rain",13545.00,215.000000,1,35927.000000,1772.000000
20,Kansas,081,Haskell,2003,7,Wheat,Freeze,28017.50,774.040000,3,73496.000000,4828.500000
20,Kansas,081,Haskell,2003,7,Wheat,Hail,9910.40,235.046000,2,36483.200000,2142.100000
20,Kansas,081,Haskell,2003,7,Wheat,Heat,1832.40,49.200000,1,6680.000000,228.000000
