Lincoln County, Washington, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
201705,69.1,0.9
201706,76.0,0.7
201707,88.8,3.4
201708,88.3,3.8
201709,75.0,-0.4
201710,57.6,-1.6
201711,43.5,0.4
201712,30.4,-2.6
201801,37.3,3.7
201802,39.0,-0.6
201803,49.1,-0.8
201804,56.6,-2.3
201805,73.2,5.0
201806,74.8,-0.5
201807,87.7,2.3
201808,84.7,0.2
201809,71.8,-3.6
201810,59.3,0.1
201811,44.0,0.9
201812,36.2,3.2
201901,35.7,2.1
201902,27.8,-11.8
201903,42.3,-7.6
201904,58.1,-0.8
201905,70.0,1.8
201906,77.0,1.7
201907,82.2,-3.2
201908,85.0,0.5
201909,71.4,-4.0
201910,53.1,-6.1
201911,43.6,0.5
