Date,Value,Anomaly
192704,45,-2.8
192705,50.3,-5.1
192706,62,0.4
192707,68.5,-1
192708,67.5,-1.4
192709,55.2,-5.6
192710,49.1,0.4
192711,40,1.5
192712,22.5,-8.8
192801,28.3,-3.9
192802,32.9,-2.1
192803,42.4,0.7
192804,44.3,-3.5
192805,58.9,3.5
192806,61.1,-0.5
192807,70.8,1.3
192808,65.4,-3.5
192809,58.9,-1.9
192810,48.4,-0.3
192811,37.4,-1.1
192812,28.4,-2.9
192901,16.8,-15.4
192902,19.2,-15.8
192903,40.9,-0.8
192904,43.5,-4.3
192905,54.6,-0.8
192906,60.4,-1.2
192907,67.6,-1.9
192908,70.6,1.7
192909,56.2,-4.6
192910,51.4,2.7
192911,34.8,-3.7
192912,35.4,4.1
193001,12,-20.2
193002,38.6,3.6
193003,41.6,-0.1
193004,51.8,4
193005,53.2,-2.2
193006,59.4,-2.2
193007,70.2,0.7
193008,70,1.1
193009,59.6,-1.2
193010,44.6,-4.1
193011,35.8,-2.7
193012,27.1,-4.2
193101,32.7,0.5
193102,34.4,-0.6
193103,40.5,-1.2
193104,47.2,-0.6
193105,57.5,2.1
193106,61.6,0
193107,69.5,0
193108,68.2,-0.7
193109,58.2,-2.6
193110,47.4,-1.3
193111,32,-6.5
193112,28.5,-2.8
193201,26.8,-5.4
193202,28.9,-6.1
193203,39,-2.7
193204,48.4,0.6
193205,53.5,-1.9
193206,63.3,1.7
193207,65.7,-3.8
193208,66.6,-2.3
193209,59.3,-1.5
193210,48.6,-0.1
193211,42,3.5
193212,25.8,-5.5
193301,31,-1.2
193302,23.7,-11.3
193303,39.9,-1.8
193304,46.2,-1.6
193305,50.4,-5
193306,61.5,-0.1
193307,68.7,-0.8
193308,68.3,-0.6
193309,55,-5.8
193310,51.1,2.4
193311,39.4,0.9
193312,38.4,7.1
193401,38,5.8
193402,40.5,5.5
193403,46.5,4.8
193404,54,6.2
193405,58.7,3.3
193406,62,0.4
193407,68,-1.5
193408,67.6,-1.3
193409,56,-4.8
193410,51,2.3
193411,42.9,4.4
193412,33,1.7
193501,32.1,-0.1
193502,35.8,0.8
193503,37.2,-4.5
193504,44,-3.8
193505,53.3,-2.1
193506,60.2,-1.4
193507,66.9,-2.6
193508,64.8,-4.1
193509,62,1.2
193510,46.2,-2.5
193511,32,-6.5
193512,30.9,-0.4
193601,31.6,-0.6
193602,17.9,-17.1
193603,38.7,-3
193604,50.8,3
193605,60.2,4.8
193606,63.2,1.6
193607,69.9,0.4
193608,68,-0.9
193609,57.6,-3.2
193610,50.4,1.7
193611,32.8,-5.7
193612,33.6,2.3
193701,10.4,-21.8
193702,29.8,-5.2
193703,43,1.3
193704,45.2,-2.6
193705,55.7,0.3
193706,61.1,-0.5
193707,70.2,0.7
193708,64.1,-4.8
193709,60.8,0
193710,52.2,3.5
193711,40.8,2.3
193712,33.8,2.5
193801,31.5,-0.7
193802,33.6,-1.4
193803,40.3,-1.4
193804,47.4,-0.4
193805,53.9,-1.5
193806,63.6,2
193807,71.1,1.6
193808,64.6,-4.3
193809,65.5,4.7
193810,50.4,1.7
193811,33.4,-5.1
193812,32.1,0.8
193901,34.4,2.2
193902,29,-6
193903,41,-0.7
193904,49.7,1.9
193905,56.6,1.2
193906,59.1,-2.5
193907,69.2,-0.3
193908,68.6,-0.3
193909,60.6,-0.2
193910,48.3,-0.4
193911,41.3,2.8
193912,38,6.7
194001,30.1,-2.1
194002,37.3,2.3
194003,44.4,2.7
194004,49.2,1.4
194005,58.4,3
194006,64.9,3.3
194007,69.4,-0.1
194008,67.1,-1.8
194009,62.7,1.9
194010,52.5,3.8
194011,31.6,-6.9
194012,33.9,2.6
194101,31.3,-0.9
194102,38.4,3.4
194103,45.2,3.5
194104,50.2,2.4
194105,54.3,-1.1
194106,60.1,-1.5
194107,71.5,2
194108,67.1,-1.8
194109,54.4,-6.4
194110,46.6,-2.1
194111,40,1.5
194112,33.8,2.5
194201,21.5,-10.7
194202,32.4,-2.6
194203,40.1,-1.6
194204,49.3,1.5
194205,52,-3.4
194206,57.4,-4.2
194207,68.7,-0.8
194208,68.9,0
194209,59.7,-1.1
194210,49.7,1
194211,35.4,-3.1
194212,32,0.7
194301,21.9,-10.3
194302,33.9,-1.1
194303,36.4,-5.3
194304,49.6,1.8
